kabupaten_kota,tahun,rasio_murid_per_guru_sd,rasio_murid_per_guru_smp,rasio_murid_per_guru_sma,rasio_murid_per_guru_smk,Jenjang_Terlemah,Prediksi_Jenjang_Terlemah
Kota Langsa,2017,13.636446056210335,10.883561643835616,12.241176470588234,10.164864864864866,SD,SD
Kota Langsa,2018,14.44603629417383,10.412645590682196,11.118155619596541,10.46236559139785,SD,SD
Kota Langsa,2019,13.874196510560147,10.935064935064934,11.44984802431611,10.788203753351207,SD,SD
Kota Langsa,2020,12.842794759825328,10.51177394034537,10.349431818181818,9.926395939086294,SD,SD
Kota Langsa,2021,13.397556390977444,10.4848,11.570987654320987,10.52892561983471,SD,SD
Kota Langsa,2022,12.887232059645854,10.537704918032787,12.697530864197532,9.03957783641161,SD,SD
Kota Langsa,2023,12.879472693032016,11.086882453151619,12.580174927113703,9.082228116710874,SD,SD
Kota Langsa,2024,12.870599429115128,12.066549912434326,12.616045845272206,9.204188481675393,SD,SD
Kota Langsa,2025,13.0732635585157,12.399647887323944,13.026162790697674,9.88888888888889,SD,SD
Kota Lhokseumawe,2016,13.500370644922164,11.111898016997166,9.411764705882353,9.297029702970297,SD,SD
Kota Lhokseumawe,2017,13.573795180722891,9.74875,8.894211576846308,9.041292639138241,SD,SD
Kota Lhokseumawe,2018,13.68,9.586163522012578,8.781512605042018,9.454198473282442,SD,SD
Kota Lhokseumawe,2019,13.500370644922164,9.79746835443038,9.153669724770642,9.944897959183674,SD,SD
Kota Lhokseumawe,2020,13.007194244604317,9.743718592964823,8.570454545454545,9.180392156862744,SD,SD
Kota Lhokseumawe,2021,13.01978021978022,9.973924380704041,8.977329974811083,9.70281124497992,SD,SD
Kota Lhokseumawe,2022,12.507607192254495,9.913385826771654,9.906666666666666,8.815040650406504,SD,SD
Kota Lhokseumawe,2023,12.759002770083102,10.702364394993046,10.58311345646438,9.081135902636916,SD,SD
Kota Lhokseumawe,2024,13.020124913254683,10.630936227951153,10.635,9.169354838709678,SD,SD
Kota Lhokseumawe,2025,13.345670391061452,10.976190476190476,10.260240963855422,8.996108949416342,SD,SD
Kota Sabang,2016,9.616707616707616,5.462121212121212,7.467625899280575,4.23404255319149,SD,SD
Kota Sabang,2017,9.41421568627451,6.510460251046025,7.453237410071942,4.956521739130435,SD,SD
